gamePk,date,home,away,status
747220,2024-04-03T01:40:00Z,Arizona Diamondbacks,New York Yankees,Final
746169,2024-04-03T02:10:00Z,Los Angeles Dodgers,San Francisco Giants,Final
745844,2024-04-02T23:10:00Z,New York Mets,Detroit Tigers,Final
747059,2024-04-03T17:05:00Z,Baltimore Orioles,Kansas City Royals,Final
745114,2024-04-03T17:10:00Z,Tampa Bay Rays,Texas Rangers,Final
746083,2024-04-03T17:10:00Z,Miami Marlins,Los Angeles Angels,Final
746008,2024-04-03T17:10:00Z,Milwaukee Brewers,Minnesota Twins,Final
745678,2024-04-03T19:37:00Z,Oakland Athletics,Boston Red Sox,Final
747219,2024-04-03T19:40:00Z,Arizona Diamondbacks,New York Yankees,Final
745603,2024-04-03T20:05:00Z,Philadelphia Phillies,Cincinnati Reds,Final
745275,2024-04-03T20:10:00Z,Seattle Mariners,Cleveland Guardians,Final
745440,2024-04-03T20:10:00Z,San Diego Padres,St. Louis Cardinals,Final
744869,2024-04-03T22:45:00Z,Washington Nationals,Pittsburgh Pirates,Final
746900,2024-04-03T23:40:00Z,Chicago Cubs,Colorado Rockies,Final
746407,2024-04-04T00:10:00Z,Houston Astros,Toronto Blue Jays,Final
746163,2024-04-04T02:10:00Z,Los Angeles Dodgers,San Francisco Giants,Final
746816,2024-04-03T18:10:00Z,Chicago White Sox,Atlanta Braves,Final
745843,2024-04-03T23:10:00Z,New York Mets,Detroit Tigers,Final
745844,2024-04-04T16:10:00Z,New York Mets,Detroit Tigers,Final
745843,2024-04-04T16:15:00Z,New York Mets,Detroit Tigers,Final
744870,2024-04-04T20:05:00Z,Washington Nationals,Pittsburgh Pirates,Final
745928,2024-04-04T20:10:00Z,Minnesota Twins,Cleveland Guardians,Final
745200,2024-04-04T20:15:00Z,St. Louis Cardinals,Miami Marlins,Final
746327,2024-04-04T23:40:00Z,Kansas City Royals,Chicago White Sox,Final
745764,2024-04-05T17:05:00Z,New York Yankees,Toronto Blue Jays,Final
746497,2024-04-05T17:10:00Z,Detroit Tigers,Oakland Athletics,Final
746897,2024-04-05T18:20:00Z,Chicago Cubs,Los Angeles Dodgers,Final
746576,2024-04-05T20:10:00Z,Colorado Rockies,Tampa Bay Rays,Final
745524,2024-04-05T20:12:00Z,Pittsburgh Pirates,Baltimore Orioles,Final
745361,2024-04-05T20:35:00Z,San Francisco Giants,San Diego Padres,Final
746733,2024-04-05T22:40:00Z,Cincinnati Reds,New York Mets,Final
744874,2024-04-05T22:45:00Z,Washington Nationals,Philadelphia Phillies,Final
747143,2024-04-05T23:20:00Z,Atlanta Braves,Arizona Diamondbacks,Final
746328,2024-04-05T23:40:00Z,Kansas City Royals,Chicago White Sox,Final
745033,2024-04-06T00:05:00Z,Texas Rangers,Houston Astros,Final
746007,2024-04-06T00:10:00Z,Milwaukee Brewers,Seattle Mariners,Final
746249,2024-04-06T01:38:00Z,Los Angeles Angels,Boston Red Sox,Final
746498,2024-04-06T17:10:00Z,Detroit Tigers,Oakland Athletics,Final
745926,2024-04-06T18:10:00Z,Minnesota Twins,Cleveland Guardians,Final
745197,2024-04-06T18:15:00Z,St. Louis Cardinals,Miami Marlins,Final
746896,2024-04-06T20:05:00Z,Chicago Cubs,Los Angeles Dodgers,Final
745522,2024-04-06T20:05:00Z,Pittsburgh Pirates,Baltimore Orioles,Final
744873,2024-04-06T20:05:00Z,Washington Nationals,Philadelphia Phillies,Final
746731,2024-04-06T20:10:00Z,Cincinnati Reds,New York Mets,Final
745031,2024-04-06T23:05:00Z,Texas Rangers,Houston Astros,Final
745766,2024-04-06T23:05:00Z,New York Yankees,Toronto Blue Jays,Final
746329,2024-04-06T23:10:00Z,Kansas City Royals,Chicago White Sox,Final
746006,2024-04-06T23:10:00Z,Milwaukee Brewers,Seattle Mariners,Final
747140,2024-04-06T23:20:00Z,Atlanta Braves,Arizona Diamondbacks,Final
746575,2024-04-07T00:10:00Z,Colorado Rockies,Tampa Bay Rays,Final
745359,2024-04-07T01:05:00Z,San Francisco Giants,San Diego Padres,Final
746248,2024-04-07T01:38:00Z,Los Angeles Angels,Boston Red Sox,Final
745523,2024-04-07T17:35:00Z,Pittsburgh Pirates,Baltimore Orioles,Final
744871,2024-04-07T17:35:00Z,Washington Nationals,Philadelphia Phillies,Final
747141,2024-04-07T17:35:00Z,Atlanta Braves,Arizona Diamondbacks,Final
745765,2024-04-07T17:35:00Z,New York Yankees,Toronto Blue Jays,Final
746734,2024-04-07T17:40:00Z,Cincinnati Reds,New York Mets,Final
746493,2024-04-07T17:40:00Z,Detroit Tigers,Oakland Athletics,Final
746330,2024-04-07T18:10:00Z,Kansas City Royals,Chicago White Sox,Final
746003,2024-04-07T18:10:00Z,Milwaukee Brewers,Seattle Mariners,Final
745198,2024-04-07T18:15:00Z,St. Louis Cardinals,Miami Marlins,Final
746895,2024-04-07T18:20:00Z,Chicago Cubs,Los Angeles Dodgers,Final
746574,2024-04-07T19:10:00Z,Colorado Rockies,Tampa Bay Rays,Final
745362,2024-04-07T20:05:00Z,San Francisco Giants,San Diego Padres,Final
746251,2024-04-07T20:07:00Z,Los Angeles Angels,Boston Red Sox,Final
745032,2024-04-07T23:10:00Z,Texas Rangers,Houston Astros,Final
745927,2024-04-07T18:10:00Z,Minnesota Twins,Cleveland Guardians,Final
746654,2024-04-08T21:10:00Z,Cleveland Guardians,Chicago White Sox,Final
745761,2024-04-08T22:05:00Z,New York Yankees,Miami Marlins,Final
745520,2024-04-08T22:40:00Z,Pittsburgh Pirates,Detroit Tigers,Final
