gamePk,date,home,away,status
746242,2024-04-23T01:38:00Z,Los Angeles Angels,Baltimore Orioles,Final
745351,2024-04-23T01:45:00Z,San Francisco Giants,New York Mets,Final
746647,2024-04-23T22:10:00Z,Cleveland Guardians,Boston Red Sox,Final
746722,2024-04-23T22:40:00Z,Cincinnati Reds,Philadelphia Phillies,Final
745516,2024-04-23T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,Final
744863,2024-04-23T22:45:00Z,Washington Nationals,Los Angeles Dodgers,Final
745102,2024-04-23T22:50:00Z,Tampa Bay Rays,Detroit Tigers,Final
745754,2024-04-23T23:05:00Z,New York Yankees,Oakland Athletics,Final
747130,2024-04-23T23:20:00Z,Atlanta Braves,Miami Marlins,Final
746888,2024-04-23T23:40:00Z,Chicago Cubs,Houston Astros,Final
746321,2024-04-23T23:40:00Z,Kansas City Royals,Toronto Blue Jays,Final
745917,2024-04-23T23:40:00Z,Minnesota Twins,Chicago White Sox,Final
745193,2024-04-23T23:45:00Z,St. Louis Cardinals,Arizona Diamondbacks,Final
745026,2024-04-24T00:05:00Z,Texas Rangers,Seattle Mariners,Final
746566,2024-04-24T00:40:00Z,Colorado Rockies,San Diego Padres,Final
746246,2024-04-24T01:38:00Z,Los Angeles Angels,Baltimore Orioles,Final
745348,2024-04-24T01:45:00Z,San Francisco Giants,New York Mets,Final
745188,2024-04-24T17:15:00Z,St. Louis Cardinals,Arizona Diamondbacks,Final
745346,2024-04-24T19:45:00Z,San Francisco Giants,New York Mets,Final
746244,2024-04-24T20:07:00Z,Los Angeles Angels,Baltimore Orioles,Final
746649,2024-04-24T22:10:00Z,Cleveland Guardians,Boston Red Sox,Final
746725,2024-04-24T22:40:00Z,Cincinnati Reds,Philadelphia Phillies,Final
745513,2024-04-24T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,Final
744864,2024-04-24T22:45:00Z,Washington Nationals,Los Angeles Dodgers,Final
745099,2024-04-24T22:50:00Z,Tampa Bay Rays,Detroit Tigers,Final
745753,2024-04-24T23:05:00Z,New York Yankees,Oakland Athletics,Final
747132,2024-04-24T23:20:00Z,Atlanta Braves,Miami Marlins,Final
746889,2024-04-24T23:40:00Z,Chicago Cubs,Houston Astros,Final
746317,2024-04-24T23:40:00Z,Kansas City Royals,Toronto Blue Jays,Final
745919,2024-04-24T23:40:00Z,Minnesota Twins,Chicago White Sox,Final
745028,2024-04-25T00:05:00Z,Texas Rangers,Seattle Mariners,Final
746567,2024-04-25T00:40:00Z,Colorado Rockies,San Diego Padres,Final
745512,2024-04-25T16:35:00Z,Pittsburgh Pirates,Milwaukee Brewers,Final
746646,2024-04-25T17:10:00Z,Cleveland Guardians,Boston Red Sox,Final
746724,2024-04-25T17:10:00Z,Cincinnati Reds,Philadelphia Phillies,Final
745918,2024-04-25T17:10:00Z,Minnesota Twins,Chicago White Sox,Final
746320,2024-04-25T18:10:00Z,Kansas City Royals,Toronto Blue Jays,Final
746887,2024-04-25T18:20:00Z,Chicago Cubs,Houston Astros,Final
745027,2024-04-25T18:35:00Z,Texas Rangers,Seattle Mariners,Final
746564,2024-04-25T19:10:00Z,Colorado Rockies,San Diego Padres,Final
744867,2024-04-25T20:05:00Z,Washington Nationals,Los Angeles Dodgers,Final
745755,2024-04-25T23:05:00Z,New York Yankees,Oakland Athletics,Final
746482,2024-04-26T17:10:00Z,Detroit Tigers,Kansas City Royals,Final
747050,2024-04-26T23:05:00Z,Baltimore Orioles,Oakland Athletics,Final
744949,2024-04-26T23:07:00Z,Toronto Blue Jays,Los Angeles Dodgers,Final
746972,2024-04-26T23:10:00Z,Boston Red Sox,Chicago Cubs,Final
745835,2024-04-26T23:10:00Z,New York Mets,St. Louis Cardinals,Final
746078,2024-04-26T23:10:00Z,Miami Marlins,Washington Nationals,Final
747129,2024-04-26T23:20:00Z,Atlanta Braves,Cleveland Guardians,Final
746808,2024-04-26T23:40:00Z,Chicago White Sox,Tampa Bay Rays,Final
745025,2024-04-27T00:05:00Z,Texas Rangers,Cincinnati Reds,Final
746000,2024-04-27T00:10:00Z,Milwaukee Brewers,New York Yankees,Final
746243,2024-04-27T01:38:00Z,Los Angeles Angels,Minnesota Twins,Final
745269,2024-04-27T01:40:00Z,Seattle Mariners,Arizona Diamondbacks,Final
745424,2024-04-27T01:40:00Z,San Diego Padres,Philadelphia Phillies,Final
745347,2024-04-27T02:15:00Z,San Francisco Giants,Pittsburgh Pirates,Final
744946,2024-04-27T19:07:00Z,Toronto Blue Jays,Los Angeles Dodgers,Final
747052,2024-04-27T20:05:00Z,Baltimore Orioles,Oakland Athletics,Final
745833,2024-04-27T20:05:00Z,New York Mets,St. Louis Cardinals,Final
745020,2024-04-27T20:05:00Z,Texas Rangers,Cincinnati Reds,Final
746971,2024-04-27T20:10:00Z,Boston Red Sox,Chicago Cubs,Final
746075,2024-04-27T20:10:00Z,Miami Marlins,Washington Nationals,Final
746560,2024-04-27T22:05:00Z,Colorado Rockies,Houston Astros,Final
746484,2024-04-27T22:10:00Z,Detroit Tigers,Kansas City Royals,Final
746803,2024-04-27T23:10:00Z,Chicago White Sox,Tampa Bay Rays,Final
745998,2024-04-27T23:10:00Z,Milwaukee Brewers,New York Yankees,Final
747131,2024-04-27T23:20:00Z,Atlanta Braves,Cleveland Guardians,Final
745425,2024-04-28T00:40:00Z,San Diego Padres,Philadelphia Phillies,Final
745350,2024-04-28T01:05:00Z,San Francisco Giants,Pittsburgh Pirates,Final
746245,2024-04-28T01:38:00Z,Los Angeles Angels,Minnesota Twins,Final
745266,2024-04-28T01:40:00Z,Seattle Mariners,Arizona Diamondbacks,Final
747045,2024-04-28T17:35:00Z,Baltimore Orioles,Oakland Athletics,Final
747125,2024-04-28T17:35:00Z,Atlanta Braves,Cleveland Guardians,Final
744947,2024-04-28T17:37:00Z,Toronto Blue Jays,Los Angeles Dodgers,Final
746483,2024-04-28T17:40:00Z,Detroit Tigers,Kansas City Royals,Final
745834,2024-04-28T17:40:00Z,New York Mets,St. Louis Cardinals,Final
746077,2024-04-28T17:40:00Z,Miami Marlins,Washington Nationals,Final
746805,2024-04-28T18:10:00Z,Chicago White Sox,Tampa Bay Rays,Final
746001,2024-04-28T18:10:00Z,Milwaukee Brewers,New York Yankees,Final
745022,2024-04-28T18:35:00Z,Texas Rangers,Cincinnati Reds,Final
746561,2024-04-28T20:05:00Z,Colorado Rockies,Houston Astros,Final
745349,2024-04-28T20:05:00Z,San Francisco Giants,Pittsburgh Pirates,Final
746237,2024-04-28T20:07:00Z,Los Angeles Angels,Minnesota Twins,Final
745265,2024-04-28T20:10:00Z,Seattle Mariners,Arizona Diamondbacks,Final
745428,2024-04-28T20:10:00Z,San Diego Padres,Philadelphia Phillies,Final
746967,2024-04-28T23:10:00Z,Boston Red Sox,Chicago Cubs,Final
747046,2024-04-29T22:35:00Z,Baltimore Orioles,New York Yankees,Final
746074,2024-04-29T22:40:00Z,Miami Marlins,Washington Nationals,Final
744945,2024-04-29T23:07:00Z,Toronto Blue Jays,Kansas City Royals,Final
745832,2024-04-29T23:10:00Z,New York Mets,Chicago Cubs,Final
746804,2024-04-29T23:40:00Z,Chicago White Sox,Minnesota Twins,Final
745999,2024-04-29T23:40:00Z,Milwaukee Brewers,Tampa Bay Rays,Final
746236,2024-04-30T01:38:00Z,Los Angeles Angels,Philadelphia Phillies,Final
747211,2024-04-30T01:40:00Z,Arizona Diamondbacks,Los Angeles Dodgers,Final
745672,2024-04-30T01:40:00Z,Oakland Athletics,Pittsburgh Pirates,Final
745427,2024-04-30T01:40:00Z,San Diego Padres,Cincinnati Reds,Final
745263,2024-04-30T01:40:00Z,Seattle Mariners,Atlanta Braves,Final
746481,2024-04-29T22:40:00Z,Detroit Tigers,St. Louis Cardinals,Final
746477,2024-04-30T19:40:00Z,Detroit Tigers,St. Louis Cardinals,Final
746481,2024-04-30T19:45:00Z,Detroit Tigers,St. Louis Cardinals,Final
747047,2024-04-30T22:35:00Z,Baltimore Orioles,New York Yankees,Final
746073,2024-04-30T22:40:00Z,Miami Marlins,Colorado Rockies,Final
744942,2024-04-30T23:07:00Z,Toronto Blue Jays,Kansas City Royals,Final
745831,2024-04-30T23:10:00Z,New York Mets,Chicago Cubs,Final
746968,2024-04-30T23:10:00Z,Boston Red Sox,San Francisco Giants,Final
746806,2024-04-30T23:40:00Z,Chicago White Sox,Minnesota Twins,Final
745997,2024-04-30T23:40:00Z,Milwaukee Brewers,Tampa Bay Rays,Final
745018,2024-05-01T00:05:00Z,Texas Rangers,Washington Nationals,Final
746398,2024-05-01T00:10:00Z,Houston Astros,Cleveland Guardians,Final
746239,2024-05-01T01:38:00Z,Los Angeles Angels,Philadelphia Phillies,Final
747210,2024-05-01T01:40:00Z,Arizona Diamondbacks,Los Angeles Dodgers,Final
745673,2024-05-01T01:40:00Z,Oakland Athletics,Pittsburgh Pirates,Final
745426,2024-05-01T01:40:00Z,San Diego Padres,Cincinnati Reds,Final
745260,2024-05-01T01:40:00Z,Seattle Mariners,Atlanta Braves,Final
746478,2024-05-01T17:10:00Z,Detroit Tigers,St. Louis Cardinals,Final
745996,2024-05-01T17:10:00Z,Milwaukee Brewers,Tampa Bay Rays,Final
746800,2024-05-01T18:10:00Z,Chicago White Sox,Minnesota Twins,Final
744939,2024-05-01T19:07:00Z,Toronto Blue Jays,Kansas City Royals,Final
745670,2024-05-01T19:37:00Z,Oakland Athletics,Pittsburgh Pirates,Final
745261,2024-05-01T19:40:00Z,Seattle Mariners,Atlanta Braves,Final
746238,2024-05-01T20:07:00Z,Los Angeles Angels,Philadelphia Phillies,Final
745423,2024-05-01T20:10:00Z,San Diego Padres,Cincinnati Reds,Final
747048,2024-05-01T22:35:00Z,Baltimore Orioles,New York Yankees,Final
746072,2024-05-01T22:40:00Z,Miami Marlins,Colorado Rockies,Final
745829,2024-05-01T23:10:00Z,New York Mets,Chicago Cubs,Final
746966,2024-05-01T23:10:00Z,Boston Red Sox,San Francisco Giants,Final
745023,2024-05-02T00:05:00Z,Texas Rangers,Washington Nationals,Final
746399,2024-05-02T00:10:00Z,Houston Astros,Cleveland Guardians,Final
747207,2024-05-02T01:40:00Z,Arizona Diamondbacks,Los Angeles Dodgers,Final
746070,2024-05-02T16:10:00Z,Miami Marlins,Colorado Rockies,Final
747044,2024-05-02T17:05:00Z,Baltimore Orioles,New York Yankees,Final
745830,2024-05-02T17:10:00Z,New York Mets,Chicago Cubs,Final
746969,2024-05-02T17:35:00Z,Boston Red Sox,San Francisco Giants,Final
745021,2024-05-02T18:35:00Z,Texas Rangers,Washington Nationals,Final
746403,2024-05-03T00:10:00Z,Houston Astros,Cleveland Guardians,Final
746890,2024-05-03T18:20:00Z,Chicago Cubs,Milwaukee Brewers,Final
746721,2024-05-03T22:10:00Z,Cincinnati Reds,Baltimore Orioles,Final
745510,2024-05-03T22:40:00Z,Pittsburgh Pirates,Colorado Rockies,Final
745589,2024-05-03T22:40:00Z,Philadelphia Phillies,San Francisco Giants,Final
744868,2024-05-03T22:45:00Z,Washington Nationals,Toronto Blue Jays,Final
745101,2024-05-03T22:50:00Z,Tampa Bay Rays,New York Mets,Final
745756,2024-05-03T23:05:00Z,New York Yankees,Detroit Tigers,Final
746645,2024-05-03T23:10:00Z,Cleveland Guardians,Los Angeles Angels,Final
746318,2024-05-03T23:40:00Z,Kansas City Royals,Texas Rangers,Final
746402,2024-05-04T00:10:00Z,Houston Astros,Seattle Mariners,Final
745914,2024-05-04T00:10:00Z,Minnesota Twins,Boston Red Sox,Final
745187,2024-05-04T00:15:00Z,St. Louis Cardinals,Chicago White Sox,Final
747208,2024-05-04T01:40:00Z,Arizona Diamondbacks,San Diego Padres,Final
745665,2024-05-04T01:40:00Z,Oakland Athletics,Miami Marlins,Final
746152,2024-05-04T02:10:00Z,Los Angeles Dodgers,Atlanta Braves,Final
745750,2024-05-04T17:05:00Z,New York Yankees,Detroit Tigers,Final
745911,2024-05-04T18:10:00Z,Minnesota Twins,Boston Red Sox,Final
745183,2024-05-04T18:15:00Z,St. Louis Cardinals,Chicago White Sox,Final
746884,2024-05-04T18:20:00Z,Chicago Cubs,Milwaukee Brewers,Final
745511,2024-05-04T20:05:00Z,Pittsburgh Pirates,Colorado Rockies,Final
744862,2024-05-04T20:05:00Z,Washington Nationals,Toronto Blue Jays,Final
745666,2024-05-04T20:07:00Z,Oakland Athletics,Miami Marlins,Final
745583,2024-05-04T22:05:00Z,Philadelphia Phillies,San Francisco Giants,Final
746644,2024-05-04T22:10:00Z,Cleveland Guardians,Los Angeles Angels,Final
746720,2024-05-04T22:40:00Z,Cincinnati Reds,Baltimore Orioles,Final
746311,2024-05-04T23:10:00Z,Kansas City Royals,Texas Rangers,Final
746394,2024-05-04T23:15:00Z,Houston Astros,Seattle Mariners,Final
745100,2024-05-04T23:15:00Z,Tampa Bay Rays,New York Mets,Final
747209,2024-05-05T00:10:00Z,Arizona Diamondbacks,San Diego Padres,Final
746155,2024-05-05T01:10:00Z,Los Angeles Dodgers,Atlanta Braves,Final
745504,2024-05-05T17:35:00Z,Pittsburgh Pirates,Colorado Rockies,Final
744861,2024-05-05T17:35:00Z,Washington Nationals,Toronto Blue Jays,Final
745751,2024-05-05T17:35:00Z,New York Yankees,Detroit Tigers,Final
746643,2024-05-05T17:40:00Z,Cleveland Guardians,Los Angeles Angels,Final
745103,2024-05-05T17:40:00Z,Tampa Bay Rays,New York Mets,Final
746395,2024-05-05T18:10:00Z,Houston Astros,Seattle Mariners,Final
746314,2024-05-05T18:10:00Z,Kansas City Royals,Texas Rangers,Final
745913,2024-05-05T18:10:00Z,Minnesota Twins,Boston Red Sox,Final
745185,2024-05-05T18:15:00Z,St. Louis Cardinals,Chicago White Sox,Final
746883,2024-05-05T18:20:00Z,Chicago Cubs,Milwaukee Brewers,Final
745667,2024-05-05T20:07:00Z,Oakland Athletics,Miami Marlins,Final
746719,2024-05-05T20:10:00Z,Cincinnati Reds,Baltimore Orioles,Final
747206,2024-05-05T20:10:00Z,Arizona Diamondbacks,San Diego Padres,Final
746153,2024-05-05T20:10:00Z,Los Angeles Dodgers,Atlanta Braves,Final
745587,2024-05-05T23:10:00Z,Philadelphia Phillies,San Francisco Giants,Final
745585,2024-05-06T20:05:00Z,Philadelphia Phillies,San Francisco Giants,Final
746639,2024-05-06T22:10:00Z,Cleveland Guardians,Detroit Tigers,Final
745509,2024-05-06T22:40:00Z,Pittsburgh Pirates,Los Angeles Angels,Final
745098,2024-05-06T22:50:00Z,Tampa Bay Rays,Chicago White Sox,Final
746313,2024-05-06T23:10:00Z,Kansas City Royals,Milwaukee Brewers,Final
746886,2024-05-06T23:40:00Z,Chicago Cubs,San Diego Padres,Final
745912,2024-05-06T23:40:00Z,Minnesota Twins,Seattle Mariners,Final
745182,2024-05-06T23:45:00Z,St. Louis Cardinals,New York Mets,Final
745669,2024-05-07T01:40:00Z,Oakland Athletics,Texas Rangers,Final
746149,2024-05-07T02:10:00Z,Los Angeles Dodgers,Miami Marlins,Final
745668,2024-05-07T19:37:00Z,Oakland Athletics,Texas Rangers,Final
746638,2024-05-07T22:10:00Z,Cleveland Guardians,Detroit Tigers,Final
746718,2024-05-07T22:40:00Z,Cincinnati Reds,Arizona Diamondbacks,Final
745508,2024-05-07T22:40:00Z,Pittsburgh Pirates,Los Angeles Angels,Final
745586,2024-05-07T22:40:00Z,Philadelphia Phillies,Toronto Blue Jays,Final
744859,2024-05-07T22:45:00Z,Washington Nationals,Baltimore Orioles,Final
745095,2024-05-07T22:50:00Z,Tampa Bay Rays,Chicago White Sox,Final
745752,2024-05-07T23:05:00Z,New York Yankees,Houston Astros,Final
747126,2024-05-07T23:20:00Z,Atlanta Braves,Boston Red Sox,Final
746885,2024-05-07T23:40:00Z,Chicago Cubs,San Diego Padres,Final
745915,2024-05-07T23:40:00Z,Minnesota Twins,Seattle Mariners,Final
746315,2024-05-07T23:40:00Z,Kansas City Royals,Milwaukee Brewers,Final
745186,2024-05-07T23:45:00Z,St. Louis Cardinals,New York Mets,Final
746559,2024-05-08T00:40:00Z,Colorado Rockies,San Francisco Giants,Final
746147,2024-05-08T02:10:00Z,Los Angeles Dodgers,Miami Marlins,Final
745507,2024-05-08T16:35:00Z,Pittsburgh Pirates,Los Angeles Angels,Final
745584,2024-05-08T17:05:00Z,Philadelphia Phillies,Toronto Blue Jays,Final
746640,2024-05-08T17:10:00Z,Cleveland Guardians,Detroit Tigers,Final
746312,2024-05-08T18:10:00Z,Kansas City Royals,Milwaukee Brewers,Final
746879,2024-05-08T18:20:00Z,Chicago Cubs,San Diego Padres,Final
746151,2024-05-08T19:10:00Z,Los Angeles Dodgers,Miami Marlins,Final
745664,2024-05-08T19:37:00Z,Oakland Athletics,Texas Rangers,Final
745659,2024-05-08T19:42:00Z,Oakland Athletics,Texas Rangers,Final
746717,2024-05-08T22:40:00Z,Cincinnati Reds,Arizona Diamondbacks,Final
744858,2024-05-08T22:45:00Z,Washington Nationals,Baltimore Orioles,Final
745097,2024-05-08T22:50:00Z,Tampa Bay Rays,Chicago White Sox,Final
745749,2024-05-08T23:05:00Z,New York Yankees,Houston Astros,Final
747127,2024-05-08T23:20:00Z,Atlanta Braves,Boston Red Sox,Final
745906,2024-05-08T23:40:00Z,Minnesota Twins,Seattle Mariners,Final
746562,2024-05-09T00:40:00Z,Colorado Rockies,San Francisco Giants,Final
745184,2024-05-08T17:15:00Z,St. Louis Cardinals,New York Mets,Final
746715,2024-05-09T17:10:00Z,Cincinnati Reds,Arizona Diamondbacks,Final
745910,2024-05-09T17:10:00Z,Minnesota Twins,Seattle Mariners,Final
746563,2024-05-09T19:10:00Z,Colorado Rockies,San Francisco Giants,Final
745748,2024-05-09T21:05:00Z,New York Yankees,Houston Astros,Final
746802,2024-05-09T23:40:00Z,Chicago White Sox,Cleveland Guardians,Final
745995,2024-05-09T23:40:00Z,Milwaukee Brewers,St. Louis Cardinals,Final
746241,2024-05-10T01:38:00Z,Los Angeles Angels,Kansas City Royals,Final
746479,2024-05-10T22:40:00Z,Detroit Tigers,Houston Astros,Final
745506,2024-05-10T22:40:00Z,Pittsburgh Pirates,Chicago Cubs,Final
745094,2024-05-10T22:50:00Z,Tampa Bay Rays,New York Yankees,Final
747043,2024-05-10T23:05:00Z,Baltimore Orioles,Arizona Diamondbacks,Final
744940,2024-05-10T23:07:00Z,Toronto Blue Jays,Minnesota Twins,Final
746964,2024-05-10T23:10:00Z,Boston Red Sox,Washington Nationals,Final
745827,2024-05-10T23:10:00Z,New York Mets,Atlanta Braves,Final
746071,2024-05-10T23:10:00Z,Miami Marlins,Philadelphia Phillies,Final
746801,2024-05-10T23:40:00Z,Chicago White Sox,Cleveland Guardians,Final
745993,2024-05-11T00:10:00Z,Milwaukee Brewers,St. Louis Cardinals,Final
746553,2024-05-11T00:40:00Z,Colorado Rockies,Texas Rangers,Final
746240,2024-05-11T01:38:00Z,Los Angeles Angels,Kansas City Royals,Final
745421,2024-05-11T01:40:00Z,San Diego Padres,Los Angeles Dodgers,Final
745264,2024-05-11T01:40:00Z,Seattle Mariners,Oakland Athletics,Final
745340,2024-05-11T02:15:00Z,San Francisco Giants,Cincinnati Reds,Final
744943,2024-05-11T19:07:00Z,Toronto Blue Jays,Minnesota Twins,Final
747041,2024-05-11T20:05:00Z,Baltimore Orioles,Arizona Diamondbacks,Final
745505,2024-05-11T20:05:00Z,Pittsburgh Pirates,Chicago Cubs,Final
746963,2024-05-11T20:10:00Z,Boston Red Sox,Washington Nationals,Final
745828,2024-05-11T20:10:00Z,New York Mets,Atlanta Braves,Final
746069,2024-05-11T20:10:00Z,Miami Marlins,Philadelphia Phillies,Final
745096,2024-05-11T20:10:00Z,Tampa Bay Rays,New York Yankees,Final
746480,2024-05-11T22:10:00Z,Detroit Tigers,Houston Astros,Final
746797,2024-05-11T23:10:00Z,Chicago White Sox,Cleveland Guardians,Final
745344,2024-05-11T23:15:00Z,San Francisco Giants,Cincinnati Reds,Final
745994,2024-05-11T23:15:00Z,Milwaukee Brewers,St. Louis Cardinals,Final
746554,2024-05-12T00:10:00Z,Colorado Rockies,Texas Rangers,Final
745422,2024-05-12T00:40:00Z,San Diego Padres,Los Angeles Dodgers,Final
746232,2024-05-12T01:38:00Z,Los Angeles Angels,Kansas City Royals,Final
745262,2024-05-12T01:40:00Z,Seattle Mariners,Oakland Athletics,Final
747042,2024-05-12T17:35:00Z,Baltimore Orioles,Arizona Diamondbacks,Final
746965,2024-05-12T17:35:00Z,Boston Red Sox,Washington Nationals,Final
745499,2024-05-12T17:35:00Z,Pittsburgh Pirates,Chicago Cubs,Final
744941,2024-05-12T17:37:00Z,Toronto Blue Jays,Minnesota Twins,Final
746476,2024-05-12T17:40:00Z,Detroit Tigers,Houston Astros,Final
746068,2024-05-12T17:40:00Z,Miami Marlins,Philadelphia Phillies,Final
745092,2024-05-12T17:40:00Z,Tampa Bay Rays,New York Yankees,Final
746798,2024-05-12T18:10:00Z,Chicago White Sox,Cleveland Guardians,Final
745990,2024-05-12T18:10:00Z,Milwaukee Brewers,St. Louis Cardinals,Final
746555,2024-05-12T19:10:00Z,Colorado Rockies,Texas Rangers,Final
745345,2024-05-12T20:05:00Z,San Francisco Giants,Cincinnati Reds,Final
746234,2024-05-12T20:07:00Z,Los Angeles Angels,Kansas City Royals,Final
745419,2024-05-12T20:10:00Z,San Diego Padres,Los Angeles Dodgers,Final
745255,2024-05-12T20:10:00Z,Seattle Mariners,Oakland Athletics,Final
745825,2024-05-12T23:10:00Z,New York Mets,Atlanta Braves,Final
747040,2024-05-13T22:35:00Z,Baltimore Orioles,Toronto Blue Jays,Final
746471,2024-05-13T22:40:00Z,Detroit Tigers,Miami Marlins,Final
746961,2024-05-13T23:10:00Z,Boston Red Sox,Tampa Bay Rays,Final
745826,2024-05-13T23:10:00Z,New York Mets,Philadelphia Phillies,Final
747128,2024-05-13T23:20:00Z,Atlanta Braves,Chicago Cubs,Final
745991,2024-05-13T23:40:00Z,Milwaukee Brewers,Pittsburgh Pirates,Final
745019,2024-05-14T00:05:00Z,Texas Rangers,Cleveland Guardians,Final
746393,2024-05-14T00:10:00Z,Houston Astros,Oakland Athletics,Final
746233,2024-05-14T01:38:00Z,Los Angeles Angels,St. Louis Cardinals,Final
747204,2024-05-14T01:40:00Z,Arizona Diamondbacks,Cincinnati Reds,Final
745420,2024-05-14T01:40:00Z,San Diego Padres,Colorado Rockies,Final
745256,2024-05-14T01:40:00Z,Seattle Mariners,Kansas City Royals,Final
745343,2024-05-14T01:45:00Z,San Francisco Giants,Los Angeles Dodgers,Final
746799,2024-05-13T23:40:00Z,Chicago White Sox,Washington Nationals,Final
745821,2024-05-14T17:10:00Z,New York Mets,Philadelphia Phillies,Final
746796,2024-05-14T20:40:00Z,Chicago White Sox,Washington Nationals,Final
746799,2024-05-14T20:45:00Z,Chicago White Sox,Washington Nationals,Final
746473,2024-05-14T22:40:00Z,Detroit Tigers,Miami Marlins,Final
746962,2024-05-14T23:10:00Z,Boston Red Sox,Tampa Bay Rays,Final
747124,2024-05-14T23:20:00Z,Atlanta Braves,Chicago Cubs,Final
745909,2024-05-14T23:40:00Z,Minnesota Twins,New York Yankees,Final
745989,2024-05-14T23:40:00Z,Milwaukee Brewers,Pittsburgh Pirates,Final
745014,2024-05-15T00:05:00Z,Texas Rangers,Cleveland Guardians,Final
746396,2024-05-15T00:10:00Z,Houston Astros,Oakland Athletics,Final
746235,2024-05-15T01:38:00Z,Los Angeles Angels,St. Louis Cardinals,Final
747205,2024-05-15T01:40:00Z,Arizona Diamondbacks,Cincinnati Reds,Final
745418,2024-05-15T01:40:00Z,San Diego Padres,Colorado Rockies,Final
745257,2024-05-15T01:40:00Z,Seattle Mariners,Kansas City Royals,Final
745342,2024-05-15T01:45:00Z,San Francisco Giants,Los Angeles Dodgers,Final
747039,2024-05-14T22:35:00Z,Baltimore Orioles,Toronto Blue Jays,Final
747038,2024-05-15T16:35:00Z,Baltimore Orioles,Toronto Blue Jays,Final
746472,2024-05-15T17:10:00Z,Detroit Tigers,Miami Marlins,Final
745992,2024-05-15T17:10:00Z,Milwaukee Brewers,Pittsburgh Pirates,Final
746795,2024-05-15T18:10:00Z,Chicago White Sox,Washington Nationals,Final
747203,2024-05-15T19:40:00Z,Arizona Diamondbacks,Cincinnati Reds,Final
745417,2024-05-15T20:10:00Z,San Diego Padres,Colorado Rockies,Final
745259,2024-05-15T20:10:00Z,Seattle Mariners,Kansas City Royals,Final
745582,2024-05-15T22:40:00Z,Philadelphia Phillies,New York Mets,Final
746960,2024-05-15T23:10:00Z,Boston Red Sox,Tampa Bay Rays,Final
747123,2024-05-15T23:20:00Z,Atlanta Braves,Chicago Cubs,Final
745908,2024-05-15T23:40:00Z,Minnesota Twins,New York Yankees,Final
745015,2024-05-16T00:05:00Z,Texas Rangers,Cleveland Guardians,Final
746397,2024-05-16T00:10:00Z,Houston Astros,Oakland Athletics,Final
746231,2024-05-16T01:07:00Z,Los Angeles Angels,St. Louis Cardinals,Final
745341,2024-05-16T01:45:00Z,San Francisco Giants,Los Angeles Dodgers,Final
745907,2024-05-16T17:10:00Z,Minnesota Twins,New York Yankees,Final
745580,2024-05-16T22:40:00Z,Philadelphia Phillies,New York Mets,Final
746959,2024-05-16T23:10:00Z,Boston Red Sox,Tampa Bay Rays,Final
746881,2024-05-16T23:40:00Z,Chicago Cubs,Pittsburgh Pirates,Final
746391,2024-05-17T00:10:00Z,Houston Astros,Oakland Athletics,Final
746150,2024-05-17T02:10:00Z,Los Angeles Dodgers,Cincinnati Reds,Final
746878,2024-05-17T18:20:00Z,Chicago Cubs,Pittsburgh Pirates,Final
745579,2024-05-17T22:40:00Z,Philadelphia Phillies,Washington Nationals,Final
747037,2024-05-17T23:05:00Z,Baltimore Orioles,Seattle Mariners,Final
745747,2024-05-17T23:05:00Z,New York Yankees,Chicago White Sox,Final
744934,2024-05-17T23:07:00Z,Toronto Blue Jays,Tampa Bay Rays,Final
746641,2024-05-17T23:10:00Z,Cleveland Guardians,Minnesota Twins,Final
746065,2024-05-17T23:10:00Z,Miami Marlins,New York Mets,Final
747122,2024-05-17T23:20:00Z,Atlanta Braves,San Diego Padres,Final
746310,2024-05-17T23:40:00Z,Kansas City Royals,Oakland Athletics,Final
745016,2024-05-18T00:05:00Z,Texas Rangers,Los Angeles Angels,Final
746388,2024-05-18T00:10:00Z,Houston Astros,Milwaukee Brewers,Final
745178,2024-05-18T00:15:00Z,St. Louis Cardinals,Boston Red Sox,Final
747201,2024-05-18T01:40:00Z,Arizona Diamondbacks,Detroit Tigers,Final
746148,2024-05-18T02:10:00Z,Los Angeles Dodgers,Cincinnati Reds,Final
745335,2024-05-18T02:15:00Z,San Francisco Giants,Colorado Rockies,Final
745744,2024-05-18T17:05:00Z,New York Yankees,Chicago White Sox,Final
746882,2024-05-18T18:20:00Z,Chicago Cubs,Pittsburgh Pirates,Final
744938,2024-05-18T19:07:00Z,Toronto Blue Jays,Tampa Bay Rays,Final
747036,2024-05-18T20:05:00Z,Baltimore Orioles,Seattle Mariners,Final
745339,2024-05-18T20:05:00Z,San Francisco Giants,Colorado Rockies,Final
746067,2024-05-18T20:10:00Z,Miami Marlins,New York Mets,Final
745581,2024-05-18T22:05:00Z,Philadelphia Phillies,Washington Nationals,Final
746642,2024-05-18T22:10:00Z,Cleveland Guardians,Minnesota Twins,Final
746308,2024-05-18T23:10:00Z,Kansas City Royals,Oakland Athletics,Final
746389,2024-05-18T23:10:00Z,Houston Astros,Milwaukee Brewers,Final
745177,2024-05-18T23:15:00Z,St. Louis Cardinals,Boston Red Sox,Final
745013,2024-05-18T23:15:00Z,Texas Rangers,Los Angeles Angels,Final
