gamePk,date,home_team,away_team,status,home_score,away_score
776315,2025-09-15T22:45:00Z,Washington Nationals,Atlanta Braves,Preview,,
776316,2025-09-15T23:35:00Z,Tampa Bay Rays,Toronto Blue Jays,Preview,,
776314,2025-09-15T23:40:00Z,Chicago White Sox,Baltimore Orioles,Preview,,
776313,2025-09-15T23:40:00Z,Minnesota Twins,New York Yankees,Preview,,
776312,2025-09-15T23:45:00Z,St. Louis Cardinals,Cincinnati Reds,Preview,,
776319,2025-09-16T00:10:00Z,Houston Astros,Texas Rangers,Preview,,
776309,2025-09-16T01:40:00Z,Arizona Diamondbacks,San Francisco Giants,Preview,,
776311,2025-09-16T02:10:00Z,Los Angeles Dodgers,Philadelphia Phillies,Preview,,
777825,2025-09-16T17:05:00Z,Washington Nationals,Atlanta Braves,Preview,,
776307,2025-09-16T22:45:00Z,Washington Nationals,Atlanta Braves,Preview,,
776303,2025-09-16T22:40:00Z,Detroit Tigers,Cleveland Guardians,Preview,,
776308,2025-09-16T22:40:00Z,Pittsburgh Pirates,Chicago Cubs,Preview,,
776310,2025-09-16T22:45:00Z,Boston Red Sox,Athletics,Preview,,
776304,2025-09-16T23:10:00Z,New York Mets,San Diego Padres,Preview,,
776305,2025-09-16T23:35:00Z,Tampa Bay Rays,Toronto Blue Jays,Preview,,
776302,2025-09-16T23:40:00Z,Kansas City Royals,Seattle Mariners,Preview,,
776306,2025-09-16T23:40:00Z,Chicago White Sox,Baltimore Orioles,Preview,,
776298,2025-09-16T23:40:00Z,Minnesota Twins,New York Yankees,Preview,,
776295,2025-09-16T23:40:00Z,Milwaukee Brewers,Los Angeles Angels,Preview,,
776300,2025-09-16T23:45:00Z,St. Louis Cardinals,Cincinnati Reds,Preview,,
776301,2025-09-17T00:10:00Z,Houston Astros,Texas Rangers,Preview,,
776293,2025-09-17T00:40:00Z,Colorado Rockies,Miami Marlins,Preview,,
776294,2025-09-17T01:40:00Z,Arizona Diamondbacks,San Francisco Giants,Preview,,
776297,2025-09-17T02:10:00Z,Los Angeles Dodgers,Philadelphia Phillies,Preview,,
776287,2025-09-17T16:35:00Z,Pittsburgh Pirates,Chicago Cubs,Preview,,
776283,2025-09-17T17:15:00Z,St. Louis Cardinals,Cincinnati Reds,Preview,,
776285,2025-09-17T18:10:00Z,Chicago White Sox,Baltimore Orioles,Preview,,
776279,2025-09-17T19:40:00Z,Arizona Diamondbacks,San Francisco Giants,Preview,,
776286,2025-09-17T20:05:00Z,Washington Nationals,Atlanta Braves,Preview,,
776296,2025-09-17T22:40:00Z,Detroit Tigers,Cleveland Guardians,Preview,,
776299,2025-09-17T22:45:00Z,Boston Red Sox,Athletics,Preview,,
776290,2025-09-17T23:05:00Z,Tampa Bay Rays,Toronto Blue Jays,Preview,,
776288,2025-09-17T23:10:00Z,New York Mets,San Diego Padres,Preview,,
776289,2025-09-17T23:40:00Z,Kansas City Royals,Seattle Mariners,Preview,,
776284,2025-09-17T23:40:00Z,Minnesota Twins,New York Yankees,Preview,,
776291,2025-09-17T23:40:00Z,Milwaukee Brewers,Los Angeles Angels,Preview,,
776292,2025-09-18T00:10:00Z,Houston Astros,Texas Rangers,Preview,,
776277,2025-09-18T00:40:00Z,Colorado Rockies,Miami Marlins,Preview,,
776280,2025-09-18T02:10:00Z,Los Angeles Dodgers,Philadelphia Phillies,Preview,,
776275,2025-09-18T17:10:00Z,Detroit Tigers,Cleveland Guardians,Preview,,
776276,2025-09-18T17:10:00Z,New York Mets,San Diego Padres,Preview,,
776269,2025-09-18T17:10:00Z,Tampa Bay Rays,Toronto Blue Jays,Preview,,
776281,2025-09-18T17:35:00Z,Boston Red Sox,Athletics,Preview,,
776272,2025-09-18T18:10:00Z,Kansas City Royals,Seattle Mariners,Preview,,
776270,2025-09-18T19:10:00Z,Colorado Rockies,Miami Marlins,Preview,,
776282,2025-09-18T23:15:00Z,Cincinnati Reds,Chicago Cubs,Preview,,
776278,2025-09-18T23:15:00Z,Baltimore Orioles,New York Yankees,Preview,,
776274,2025-09-18T23:40:00Z,Milwaukee Brewers,Los Angeles Angels,Preview,,
776271,2025-09-19T02:10:00Z,Los Angeles Dodgers,San Francisco Giants,Preview,,
776267,2025-09-19T22:40:00Z,Cincinnati Reds,Chicago Cubs,Preview,,
776266,2025-09-19T22:40:00Z,Pittsburgh Pirates,Athletics,Preview,,
776268,2025-09-19T22:40:00Z,Detroit Tigers,Atlanta Braves,Preview,,
776273,2025-09-19T23:05:00Z,Baltimore Orioles,New York Yankees,Preview,,
776259,2025-09-19T23:10:00Z,New York Mets,Washington Nationals,Preview,,
776261,2025-09-19T23:35:00Z,Tampa Bay Rays,Boston Red Sox,Preview,,
776260,2025-09-19T23:40:00Z,Kansas City Royals,Toronto Blue Jays,Preview,,
776264,2025-09-19T23:40:00Z,Chicago White Sox,San Diego Padres,Preview,,
776251,2025-09-20T00:05:00Z,Texas Rangers,Miami Marlins,Preview,,
776253,2025-09-20T00:10:00Z,Colorado Rockies,Los Angeles Angels,Preview,,
776262,2025-09-20T00:10:00Z,Houston Astros,Seattle Mariners,Preview,,
776263,2025-09-20T00:10:00Z,Minnesota Twins,Cleveland Guardians,Preview,,
776265,2025-09-20T00:15:00Z,St. Louis Cardinals,Milwaukee Brewers,Preview,,
776255,2025-09-20T01:40:00Z,Arizona Diamondbacks,Philadelphia Phillies,Preview,,
776256,2025-09-20T02:10:00Z,Los Angeles Dodgers,San Francisco Giants,Preview,,
