match_time,home_team,away_team,site,market,outcome,odds
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,BetMGM,spreads,Philadelphia Phillies,1.87
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,BetUS,h2h,Miami Marlins,2.57
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,BetUS,h2h,Philadelphia Phillies,1.56
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,BetUS,spreads,Miami Marlins,1.93
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,BetUS,spreads,Philadelphia Phillies,1.89
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,FanDuel,h2h,Colorado Rockies,2.32
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,FanDuel,h2h,Washington Nationals,1.64
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,FanDuel,spreads,Colorado Rockies,1.62
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,FanDuel,spreads,Washington Nationals,2.34
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,LowVig.ag,h2h,Colorado Rockies,2.36
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,LowVig.ag,h2h,Washington Nationals,1.67
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,LowVig.ag,spreads,Colorado Rockies,1.66
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,LowVig.ag,spreads,Washington Nationals,2.33
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetOnline.ag,h2h,Colorado Rockies,2.36
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetOnline.ag,h2h,Washington Nationals,1.67
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetOnline.ag,spreads,Colorado Rockies,1.66
